player
ML Hayden,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
A Nehra,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
DPMD Jayawardene,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
S Badrinath,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
JP Duminy,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
A Mishra,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
DR Smith,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
LRPL Taylor,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
Harbhajan Singh,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
R Bhatia,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
LRPL Taylor,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SK Warne,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
B Lee,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
ML Hayden,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
RG Sharma,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
Yuvraj Singh,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
AB de Villiers,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
BJ Hodge,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
JH Kallis,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
LR Shukla,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
M Muralitharan,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
V Sehwag,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
